	key	handstrat	participant	melody	sex	age	score	genre	proc	qommax	qommin	qomav	handdistmax	handdistmin	handdistav	zmax	zmin	distlh	distrh
127	127	1	3	18	F	29	972	im	syn	2241.970025668	11.8321595662	2116.1251475427	577.6171064837	227.3182840977	343.3108156918	1616.67549022	1072.05215304	1356.0514146975	2262.7272862925
128	128	3	2	10	F	53	989	sc	norm	2302.9245606049	11.8321595662	2013.4584550077	588.937816555	393.6518735998	492.6194118824	1509.19663245	835.252657383	2523.4541723451	2654.3603853394
129	129	1	3	16	F	29	972	vo	norm	2014.2804505006	11.8321595662	1700.894014365	999.5917668715	542.427575413	739.140060449	1740.62807197	788.41606875	584.212802323	2394.0868556022
130	130	3	8	5	F	20	262	jo	norm	2374.3696311563	11.8321595662	1852.1050504313	656.2657178206	174.7940764966	374.5778462503	1675.89099184	803.686188934	3992.5389286307	4542.9158670484
131	131	3	3	20	F	29	972	im	syn	2509.6791271603	11.8321595662	1570.9784544719	780.8089377758	482.98411955	584.9404524868	1799.54537054	784.909978722	2601.3487650384	2965.1566277838
132	132	3	8	24	F	20	262	jo	syn	2308.9527932839	11.8321595662	1849.6062276064	638.3602150859	281.0174156803	422.6863586418	1612.86237668	762.216761587	3250.0969965408	3569.3476164777
133	133	3	10	22	F	24	438	jo	syn	1859.7994659074	11.8321595662	1693.708554261	607.1179000701	124.7742274982	452.8229313362	1223.76627272	762.778714165	2104.945997392	2194.0691088648
134	134	5	8	13	F	20	262	vo	norm	2553.6552276638	11.8321595662	1840.8621537547	865.2058576657	350.654367924	609.9390463268	1749.83913425	812.761209883	2913.6791112909	3157.0207894076
135	135	1	6	7	M	37	973	jo	norm	1964.1120576407	11.8321595662	1669.4496882263	949.9481108319	486.3275719603	748.7579358366	1575.12092874	833.789758607	563.1554374375	3480.4620437966
136	136	3	10	19	F	24	438	im	syn	1812.5095256676	11.8321595662	1654.3602747503	574.7349801948	302.4694374029	396.7747374969	1241.93652315	794.514565866	2075.8743014232	2248.7453718779
137	137	1	20	26	F	20	499	sc	syn	1963.415408696	11.8321595662	1737.585311913	845.9991678524	398.9011361394	663.4052972806	1428.28284513	777.877323759	2095.1856390231	3312.207590367
138	138	3	2	13	F	53	989	vo	norm	2520.2860883684	11.8321595662	2195.4187647548	756.5291339654	568.935798708	707.3567795599	1708.93351291	720.934241645	3428.7509950953	3752.3084685457
139	139	3	2	28	F	53	989	sc	syn	2913.290603849	11.8321595662	2409.9435533206	1058.2208296304	559.738293394	906.6472138479	2052.85108766	823.184352559	3207.9850058945	3523.9976872879
140	140	3	10	5	F	24	438	jo	norm	2491.0904065381	11.8321595662	1941.4513510942	715.2994781394	484.0100810801	578.2430306692	1658.44327426	705.212784883	3436.4387556623	3537.4254852686
141	141	3	9	3	F	31	913	im	norm	1958.7589085103	11.8321595662	1692.1074345089	973.6086326692	300.1535867306	754.9462443449	1321.39317669	755.868984594	2734.2479092484	3338.5708295103
142	142	3	10	14	F	24	438	vo	norm	2486.4413058979	11.8321595662	1921.0027404542	991.347381388	427.2639893897	745.9143135329	1668.30760766	772.040145176	3735.5635825374	4319.8078863163
143	143	4	2	32	F	53	989	vo	syn	2976.9081177186	11.8321595662	2844.5914250635	402.8925425284	114.7238883773	228.1792725801	2123.6250981	1776.111	1612.4103176372	2084.4064126804
